Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Oskarshamn 3,1400.0,1.0,SE,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forsmark block 3,1172.0,1.0,SE,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ringhals 4,1140.0,1.0,SE,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forsmark block 2,1118.0,1.0,SE,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ringhals 3,1063.0,1.0,SE,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Forsmark block 1,988.0,1.0,SE,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Harsprånget,811.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Karlshamn,662.0,1.0,SE,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MarkbygdenETT,645.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Stornorrfors,610.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Letsi,473.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Messaure,445.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Porjus,422.0,1.0,SE,,,HDAM,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Djupdal,380.0,1.0,SE,,,WTON,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
