Unnamed: 0,Unit,PowerCapacity,Nunits,Zone,Zone_th,Zone_h2,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,CHPMaxHeat,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,WaterWithdrawal,WaterConsumption,Status,Source,Company,Lat,Lon
,Kilroot,655,1.0,UK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ballylumford C Station,494,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Coolkeeragh,467,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ballylumford B Station,217,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,iPower Solutions Limited,74,1.0,UK,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lisahally,18,1.0,UK,,,STUR,BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Knockmore Hill AGU Production,12,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Knockmore Hill,3,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Empower Generation Limited,3,1.0,UK,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DRAXX,3885,1.0,UK,,,STUR,BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LOAN,2400,1.0,UK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PEMB,2305,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EGGPS,2100,1.0,UK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RATS,2020,1.0,UK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DINO,2016,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WBUPS,2012,1.0,UK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,COTPS,2008,1.0,UK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STVE,1998,1.0,UK,,,HROR,WAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FIDL,1961,1.0,UK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,FERR,1960,1.0,UK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PEHE,1840,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STAY,1828,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ABTHB,1590,1.0,UK,,,STUR,HRD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CNQPS,1500,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DIDCB,1490,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HINB,1400,1.0,UK,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TORN,1370,1.0,UK,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LITT-D,1370,1.0,UK,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRAIN,1365,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WBURB,1360,1.0,UK,,,COMC,GAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GRAI,1350,1.0,UK,,,STUR,OIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HEYM2,1344,1.0,UK,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WYLF,1340,1.0,UK,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HEYM1,1332,1.0,UK,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HRTL,1332,1.0,UK,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DNGB,1320,1.0,UK,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SIZB,1320,1.0,UK,,,STUR,NUC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
