,bus0,bus1,Optimized capacity,type
1,BE1 0,FR1 0,7600.60659369542,AC
2,BE1 0,NL1 0,6196.49999346613,AC
3,DE1 0,FR1 0,5556.48378087822,AC
4,DE1 0,NL1 0,7905.09957781377,AC
14801,DE1 0,BE1 0,1822.49972378667,DC
14814,GB0 0,NL1 0,1822.49929859842,DC
14826,GB0 0,FR1 0,3644.99806123411,DC
5581,GB0 0,GB2 0,4558.06887712765,DC
5580,GB0 0,GB2 0,455.62163292038,DC
T2,FR1 0,GB0 0,1822.49770992873,DC
T6,GB0 0,BE1 0,1822.49965687477,DC
T11,GB0 0,FR1 0,2551.49794880748,DC
T18,GB0 0,FR1 0,3644.99786949376,DC
T20,GB0 0,FR1 0,2551.49797273092,DC
T21,GB0 0,DE1 0,2551.49893493742,DC
T32,GB0 0,NL1 0,2186.99929415769,DC
