name,bus,bus0,bus1,bus2,bus3,bus4,efficiency,efficiency2,efficiency3,efficiency4,carrier,start_up_cost,shut_down_cost,stand_by_cost,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,p_nom_opt,urban central heat_fraction,services urban decentral heat_fraction,services rural heat_fraction,residential rural heat_fraction,residential urban decentral heat_fraction
BE1 0 offwind-ac-2030,BE1 0,,,,,,1.0,,,,offwind-ac,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1738.1993735928063,0.0,0.0,0.0,0.0,0.0
BE1 0 offwind-dc-2030,BE1 0,,,,,,1.0,,,,offwind-dc,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1999.999446467558,0.0,0.0,0.0,0.0,0.0
BE1 0 onwind-2030,BE1 0,,,,,,1.0000000000000002,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,3024.398849192293,0.0,0.0,0.0,0.0,0.0
BE1 0 ror,BE1 0,,,,,,0.9,,,,ror,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,59.015339742579165,0.0,0.0,0.0,0.0,0.0
BE1 0 solar-2030,BE1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,5103.599411764723,0.0,0.0,0.0,0.0,0.0
BE1 0 oil,BE1 0 oil,,,,,,1.0,,,,oil,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,17228.517766934165,0.0,0.0,0.0,0.0,0.0
BE1 0 gas,BE1 0 gas,,,,,,1.0,,,,gas,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,39563.050946355725,0.0,0.0,0.0,0.0,0.0
BE1 0 residential rural solar thermal collector-2030,BE1 0 residential rural heat,,,,,,1.0,,,,residential rural solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1115416588457412,0.0,0.0,0.0,0.0,0.0
BE1 0 services rural solar thermal collector-2030,BE1 0 services rural heat,,,,,,1.0,,,,services rural solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1091700485438434,0.0,0.0,0.0,0.0,0.0
BE1 0 residential urban decentral solar thermal collector-2030,BE1 0 residential urban decentral heat,,,,,,1.0,,,,residential urban decentral solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1163564106508378,0.0,0.0,0.0,0.0,0.0
BE1 0 services urban decentral solar thermal collector-2030,BE1 0 services urban decentral heat,,,,,,1.0,,,,services urban decentral solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1139421959583138,0.0,0.0,0.0,0.0,0.0
BE1 0 urban central solar thermal collector-2030,BE1 0 urban central heat,,,,,,1.0,,,,urban central solar thermal,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,0.1726821591890587,0.0,0.0,0.0,0.0,0.0
BE1 0 solar rooftop-2030,BE1 0 low voltage,,,,,,1.0,,,,solar rooftop,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1999.9963678420588,0.0,0.0,0.0,0.0,0.0
BE1 0  onwind-2005,BE1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,153.0,0.0,0.0,0.0,0.0,0.0
BE1 0  offwind-ac-2010,BE1 0,,,,,,1.0,,,,offwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,196.5,0.0,0.0,0.0,0.0,0.0
BE1 0  onwind-2010,BE1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,548.5,0.0,0.0,0.0,0.0,0.0
BE1 0  solar-2010,BE1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1004.6,0.0,0.0,0.0,0.0,0.0
BE1 0  offwind-ac-2015,BE1 0,,,,,,1.0,,,,offwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,515.5,0.0,0.0,0.0,0.0,0.0
BE1 0  onwind-2015,BE1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,753.8,0.0,0.0,0.0,0.0,0.0
BE1 0  solar-2015,BE1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,2125.0,0.0,0.0,0.0,0.0,0.0
BE1 0  offwind-ac-2020,BE1 0,,,,,,1.0,,,,offwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1549.8000000000002,0.0,0.0,0.0,0.0,0.0
BE1 0  onwind-2020,BE1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,941.6,0.0,0.0,0.0,0.0,0.0
BE1 0  solar-2020,BE1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,2441.2000000000003,0.0,0.0,0.0,0.0,0.0
BE1 0  onwind-2025,BE1 0,,,,,,1.0,,,,onwind,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,578.6999999999998,0.0,0.0,0.0,0.0,0.0
BE1 0  solar-2025,BE1 0,,,,,,1.0,,,,solar,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1325.5999999999997,0.0,0.0,0.0,0.0,0.0
BE1 0 load,BE1 0,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 oil load,BE1 0 oil,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 co2 stored load,BE1 0 co2 stored,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 co2 sequestered load,BE1 0 co2 sequestered,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 gas load,BE1 0 gas,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 H2 load,BE1 0 H2,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 battery load,BE1 0 battery,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 EV battery load,BE1 0 EV battery,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 land transport oil load,BE1 0 land transport oil,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 residential rural heat load,BE1 0 residential rural heat,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 residential rural water tanks load,BE1 0 residential rural water tanks,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 services rural heat load,BE1 0 services rural heat,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 services rural water tanks load,BE1 0 services rural water tanks,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 residential urban decentral heat load,BE1 0 residential urban decentral heat,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 residential urban decentral water tanks load,BE1 0 residential urban decentral water tanks,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 services urban decentral heat load,BE1 0 services urban decentral heat,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 services urban decentral water tanks load,BE1 0 services urban decentral water tanks,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 urban central heat load,BE1 0 urban central heat,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 urban central water tanks load,BE1 0 urban central water tanks,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 biogas load,BE1 0 biogas,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 solid biomass load,BE1 0 solid biomass,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 solid biomass for industry load,BE1 0 solid biomass for industry,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 gas for industry load,BE1 0 gas for industry,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 shipping methanol load,BE1 0 shipping methanol,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 shipping oil load,BE1 0 shipping oil,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 naphtha for industry load,BE1 0 naphtha for industry,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
BE1 0 kerosene for aviation load,BE1 0 kerosene for aviation,,,,,,1.0,,,,load,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,1000000.0,0.0,0.0,0.0,0.0,0.0
