,bus,type,carrier,e_nom,e_nom_mod,e_nom_extendable,e_nom_min,e_nom_max,e_nom_set,e_min_pu,e_max_pu,e_initial,e_initial_per_period,e_cyclic,e_cyclic_per_period,p_set,q_set,e_set,sign,marginal_cost,marginal_cost_quadratic,marginal_cost_storage,capital_cost,overnight_cost,discount_rate,fom_cost,standing_loss,active,build_year,lifetime,e_nom_opt,country,node,heat_load
GB0 0 residential rural water tanks-2030,GB0 0 residential rural water tanks,,residential rural water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.009829652423907263,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,385.7574390549447,UK,GB0 0,residential rural heat
GB0 0 services rural water tanks-2030,GB0 0 services rural water tanks,,services rural water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.010225789051525935,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,137.37228463072927,UK,GB0 0,services rural heat
GB0 0 residential urban decentral water tanks-2030,GB0 0 residential urban decentral water tanks,,residential urban decentral water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.009608241578054368,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,2000.188712989855,UK,GB0 0,residential urban decentral heat
GB0 0 services urban decentral water tanks-2030,GB0 0 services urban decentral water tanks,,services urban decentral water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.010171873105124426,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,217.19820300987232,UK,GB0 0,services urban decentral heat
GB0 0 urban central water tanks-2030,GB0 0 urban central water tanks,,urban central water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.009487332749073749,0.0,0.0,51.13948964357274,,,0.0,0.0002314546917104865,True,2030,25.0,173888.49288120866,UK,GB0 0,urban central heat
GB2 0 residential rural water tanks-2030,GB2 0 residential rural water tanks,,residential rural water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.010732618315766732,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,65.14755408878713,UK,GB2 0,residential rural heat
GB2 0 services rural water tanks-2030,GB2 0 services rural water tanks,,services rural water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.009241257331980647,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,10.816786169220707,UK,GB2 0,services rural heat
GB2 0 residential urban decentral water tanks-2030,GB2 0 residential urban decentral water tanks,,residential urban decentral water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.009834044422049404,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,36.72441769192689,UK,GB2 0,residential urban decentral heat
GB2 0 services urban decentral water tanks-2030,GB2 0 services urban decentral water tanks,,services urban decentral water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.0102498070041912,0.0,0.0,35104.335138024115,,,0.0,0.013792883256083743,True,2030,20.0,2.3528833854591205,UK,GB2 0,services urban decentral heat
GB2 0 urban central water tanks-2030,GB2 0 urban central water tanks,,urban central water tanks,0.0,0.0,True,0.0,inf,,0.0,1.0,0.0,False,True,False,,0.0,,1.0,0.009388445921157541,0.0,0.0,51.13948964357274,,,0.0,0.0002314546917104865,True,2030,25.0,9143.419195841803,UK,GB2 0,urban central heat
