,bus0,bus1,Optimized capacity,type
1,BE1 0,FR1 0,5804.9984032917,AC
2,BE1 0,NL1 0,4589.99939227216,AC
3,DE1 0,FR1 0,4454.99436508211,AC
4,DE1 0,NL1 0,6327.93625454384,AC
14801,DE1 0,BE1 0,1349.99932558207,DC
14814,GB0 0,NL1 0,1349.9989097014,DC
14826,GB0 0,FR1 0,2699.95035185569,DC
5581,GB0 0,GB2 0,3376.3485726504,DC
5580,GB0 0,GB2 0,337.497528032148,DC
T2,FR1 0,GB0 0,1000.00770212348,DC
T6,GB0 0,BE1 0,1349.99908964688,DC
T11,GB0 0,FR1 0,1889.86417624307,DC
T18,GB0 0,FR1 0,2000.00302484135,DC
T20,GB0 0,FR1 0,1889.89729297766,DC
T21,GB0 0,DE1 0,1889.99763631552,DC
T32,GB0 0,NL1 0,1619.9988945404,DC
