,bus0,bus1,Optimized capacity,type
1,BE1 0,FR1 0,7836.74526423129,AC
2,BE1 0,NL1 0,6196.49889947407,AC
3,DE1 0,FR1 0,5913.21464172752,AC
4,DE1 0,NL1 0,8198.84653558341,AC
14801,DE1 0,BE1 0,1822.49898191382,DC
14814,GB0 0,NL1 0,1822.49828694935,DC
14826,GB0 0,FR1 0,3644.93123076879,DC
5581,GB0 0,GB2 0,4558.06471112517,DC
5580,GB0 0,GB2 0,455.616184142158,DC
T2,FR1 0,GB0 0,1350.00852481359,DC
T6,GB0 0,BE1 0,1822.49856282438,DC
T11,GB0 0,FR1 0,2551.31490995813,DC
T18,GB0 0,FR1 0,2700.00218727889,DC
T20,GB0 0,FR1 0,2551.35965138777,DC
T21,GB0 0,DE1 0,2551.4966473078,DC
T32,GB0 0,NL1 0,2186.99824435517,DC
